STREET NAME/SUBD/CONDO,VICINITY,CLASSIFICATION,Fair Value Estimate Lot,BARANGAY
AGUINALDO ST.,NORTH DR TO 28TH ST (PREVIOUSLY NORTH DR TO 29TH ST),RR,15275,BARANGAY: 1 ZONE 1
,,CR *,29900,
GATUSLAO ST,NORTH DR TO 29TH ST,RR,13000,
,,CR *,29900,
LACSON ST,NORTH DR TO MANDALAGAN (BRIDGE),CR,85800,
GATUSLAO EXT. (CALAMBA St.),NORTH DR EXT. UP TO END OF CALAMBA ST.,RR *,15600,
NORTH DRIVE,SAN JUAN ST. TO GATUSLAO ST.,RR,21970,
,GATUSLAO ST. TO LACSON ST.,CR,48100,
SAN JUAN ST,NORTH DR TO STO NIÑO,RR,13520,
,,CR,37050,
23RD STREET,LACSON ST. TO GATUSLAO ST,RR,21710,
,,CR *,29900,
24TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,21710,
,,CR,29900,
,LACSON ST. TO GATUSLAO ST.,RR,21710,
,,CR *,29900,
25TH STREET,LACSON ST. TO GATUSLAO ST.,RR,27300,
,,CR *,35490,
,CAPITOL SUBD TO GATUSLAO ST.,RR,27300,
,,CR *,32500,
26TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,27300,
,,CR *,35100,
,LACSON ST. TO GATUSLAO ST.,RR,27300,
,,CR *,32500,
27TH STREET,CAPITOL SUBD TO GATUSLAO ST.,RR,27300,
,,CR *,35100,
,LACSON ST. TO GATUSLAO ST.,RR,27300,
,,CR *,32500,
28TH STREET,AGUINALDO ST. TO GATUSLAO ST.,RR,15600,
,,CR *,29900,
29TH STREET,29TH STREET EXT,RR,#VALUE!,
,AGUINALDO – GATUSLAO ST.,RR,#VALUE!,
CAPITOL SUBD ROAD,,RR,#VALUE!,
ALL OTHER STREETS,,RR,10400,
,,CR,20800,
,EASTERN PORTION FROM 4TH,,0,
,,,,BARANGAY : NAILON
,,,0,BARANGAY: MCKINLEY
"*Currently, the maximum selling price of A2 is more or less P30.00 per square meters",,,0,
NORTH CAPITOL ROAD,,RR,#VALUE!,BARANGAY: 2 ZONE 1
,GATUSLAO ST-LACSON ST,CR,#VALUE!,
NORTH DRIVE,GATUSLAO ST. TO NORTH DRIVE EXT. (PREVIOUSLY GATUSLAO ST. TO RECLAMATION AREA),RR,26000,
,,CR,32500,
SAN JUAN ST,NORTH CAPITOL TO MANDALAGAN RIVER,RR,13780,
,(Previously North Capitol North),CR,34450,
ALL OTHER STREETS,,RR,10400,
,,CR,20800,
,R. Diao Street to National Highway,,0,
GATUSLAO ST,NORTH DRIVE AVE. TO 17TH ST,RR,13000,BARANGAY: 3
NORTH DRIVE AVE,SAN JUAN ST. TO GATUSLAO ST.,RR,17940,
,,CR,48100,
SAN JUAN ST.,17TH ST. TO NORTH DRIVE AVE,RR,13000,
,,CR,34450,
17TH STREET,GATUSLAO ST. TO SAN JUAN ST.,RR,16250,
,,CR *,31850,
18TH STREET,GATUSLAO ST. TO SAN JUAN ST.,RR,18070,
,,CR *,31850,
19TH STREET,GATUSLAO ST. TO INT,RR,13780,
,,CR *,31850,
20TH STREET,GATUSLAO ST. TO INT,RR,13780,
,,CR *,31850,
21ST STREET,GATUSLAO ST. TO INT,RR,13780,
,,CR *,31850,
22ND STREET,GATUSLAO ST. TO INT,RR,13000,
,,CR *,31850,
ALL OTHER STREETS,INTERIOR,RR,9750,
,,CR,26000,
,EBARLE ST. M. CALO ST.,,0,
AGUINALDO ST,NORTH CAP. ROAD TO NORTH DRIVE,RR,14950,BARANGAY: 4
,,CR *,29900,
GATUSLAO ST,NORTH DR TO N CAPITOL,RR,27300,
LACSON ST,N CAPITOL TO NORTH DR,CR,85800,
NORTH CAPITOL RD,GATUSLAO ST. TO LACSON ST.,CR,70200,
NORTH DRIVE,GATUSLAO ST. TO LACSON ST. (PREVIOUSLY GATUSLAO TO SAN AGUSTIN),CR,48100,
10TH STREET,GATUSLAO TO AGUINALDO,RR,#VALUE!,
12TH STREET,LACSON ST. TO AGUINALDO ST.,RR,25610,
,,CR *,29900,
,GATUSLAO ST. TO AGUINALDO ST.,RR,25610,
,,CR *,27300,
13TH STREET,LACSON ST. TO AGUINALDO ST.,RR,26000,
,,CR *,29900,
,GATUSLAO ST. TO AGUINALDO ST.,RR,23400,
,,CR *,29900,
14TH STREET,LACSON ST. TO AGUINALDO ST.,RR,27950,
,,CR *,30550,
