AreaSQM,Floors,Bedrooms,Carport,Yard,Price_Php_M
192,1,3,2,1,2.63
147,2,2,1,0,2.52
232,2,3,0,1,1.97
183,1,2,1,1,1.06
189,1,3,2,0,2.33
224,2,3,1,1,1.71
146,1,2,1,1,2.74
300,1,3,0,1,1.25
297,1,3,0,0,1.96
240,2,2,0,0,2.62
216,1,2,2,1,1.2
136,2,3,1,0,2.21
104,1,2,0,0,2.73
218,1,2,2,1,2.35
294,1,2,0,0,2.68
243,1,3,0,1,2.5
218,2,3,1,1,2.49
107,2,2,2,1,1.63
235,2,3,0,1,1.29
182,2,2,1,0,2.33
160,2,2,0,1,2.28
104,1,3,1,1,2.57
221,2,2,1,0,2.82
246,2,3,1,1,1.25
291,1,2,1,0,2.58
128,1,2,0,1,2.23
287,2,3,2,0,1.57
267,2,3,0,0,1.47
241,2,3,1,0,2.42
293,2,2,1,0,1.8
213,1,2,0,0,2.81
251,2,2,0,1,1.11
149,1,3,2,1,1.92
293,1,2,2,0,2.44
230,2,2,2,0,2.05
270,1,3,0,1,1.84
175,1,3,0,1,2.07
296,1,3,1,0,1.68
264,2,3,2,1,1.14
231,2,2,0,0,2.68
201,2,3,2,1,1.38
282,2,3,1,1,2.56
147,2,3,2,1,1.71
276,1,3,1,1,2.07
138,2,2,2,1,1.96
102,1,2,1,0,2.49
258,2,3,1,1,1.04
125,1,2,0,0,2.03
136,1,3,0,1,1.33
116,2,2,2,0,1.09
253,1,2,2,0,2.81
251,2,3,2,1,1.82
211,2,2,1,1,1.85
261,2,3,2,1,2.77
227,2,2,1,0,2.78
189,1,3,2,0,1.45
123,1,2,2,0,1.16
246,2,3,2,1,1.18
135,2,3,0,0,2.19
174,1,3,0,1,1.79
242,2,2,1,1,2.02
293,2,2,2,0,2.06
176,2,3,0,0,2.71
151,1,2,1,1,2.58
118,2,3,2,0,1.44
256,1,2,2,1,1.78
114,2,2,1,0,1.05
181,2,3,1,0,1.38
177,1,2,2,1,1.73
270,2,2,1,1,1.21
188,2,2,0,1,2.83
140,2,3,2,0,2.3
210,1,2,2,1,1.88
178,1,3,0,0,2.07
262,1,3,2,0,2.77
221,2,2,0,0,1.08
138,2,3,1,1,2.44
255,1,3,1,1,1.62
266,2,3,2,1,1.58
280,2,3,2,1,1.67
103,1,3,0,0,2.87
271,1,2,1,0,2.8
166,1,2,1,0,2.82
236,2,3,2,1,2.03
294,1,3,0,1,2.29
155,1,2,2,1,2.08
143,2,2,1,0,2.62
130,1,3,0,1,2.42
183,2,2,1,1,1
245,1,2,1,1,1.02
