AreaSQM,Floors,Bedrooms,Bathrooms,Carport,Yard,Price_Php_M
200,2,4,4,2,1,12.00
102,1,3,2,1,0,6.12
80,1,2,1,1,0,4.00
49,1,2,1,1,0,2.50
85,1,3,1,1,0,4.35
240,1,3,2,1,1,10.50
200,2,4,2,2,0,12.00
500,2,6,4,3,1,23.00
160,2,4,2,1,0,8.99
312,2,4,4,2,1,17.50
100,2,4,3,1,0,6.50
105,1,2,1,1,0,4.80
431,1,3,3,1,1,19.00
300,1,7,5,1,1,18.70
94,1,4,3,1,1,6.20
108,1,3,1,1,0,4.90
180,2,4,2,2,0,9.50
60,2,2,2,1,0,4.00
46,1,2,1,1,0,3.78
390,2,5,5,3,1,18.00
99,2,3,2,1,0,5.90
250,1,4,3,1,1,13.30
113,1,2,2,1,0,4.20
140,2,3,2,1,0,7.70
90,1,2,1,1,0,5.10
120,2,4,2,1,0,8.83
400,2,5,4,4,1,22.00
90,2,3,2,1,0,6.76
297,2,5,5,1,1,16.50
150,2,4,2,1,0,8.75
250,2,4,3,2,0,15.00
130,1,3,2,1,0,6.10
66,2,3,2,1,1,4.78
350,1,4,3,2,0,16.00
215,2,4,3,3,0,14.00
200,2,4,2,1,0,12.70
87,1,2,1,1,0,5.00
118,1,3,2,1,1,6.55
53,2,2,2,1,1,4.40
240,2,4,4,2,1,14.50
400,2,5,4,2,1,20.00
124,2,4,3,1,0,6.50
220,1,3,3,4,1,11.00
100,1,3,1,1,0,5.50
87,1,3,2,1,0,5.52
380,1,3,3,1,0,17.00
175,2,4,2,2,0,9.50
400,2,5,3,3,1,20.00
350,2,4,4,1,0,20.00
76,1,3,1,1,0,4.28
120,1,3,2,1,0,5.75
370,1,3,3,1,1,20.00
110,1,2,1,1,0,4.05
83,2,3,2,1,0,4.80
450,2,4,5,2,1,22.50
162,2,4,3,1,0,10.00
100,1,2,1,1,0,4.35
65,1,3,1,1,0,4.12
89,1,3,1,1,0,5.59
150,2,3,2,2,0,8.70
225,1,4,3,1,0,9.50
77,1,2,1,1,0,4.25
